Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Android/android.widget.TextView - Add To Cart""), 0)",,,,2023-05-31 18:47:47,2023-05-31 18:47:48,1.155s,PASSED
pressBack(),,,,2023-05-31 18:47:48,2023-05-31 18:47:49,0.649s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - TestallTheThings""), 0)",,,,2023-05-31 18:47:49,2023-05-31 18:47:50,1.204s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Add To Cart""), 0)",,,,2023-05-31 18:47:50,2023-05-31 18:47:51,1.289s,PASSED
"tap(findTestObject(""Android/android.widget.ImageView - Cart Icon""), 0)",,,,2023-05-31 18:47:51,2023-05-31 18:47:52,0.767s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Proceed To Checkout""), 0)",,,,2023-05-31 18:47:52,2023-05-31 18:47:53,0.886s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Username""), USERNAME, 0)",,,,2023-05-31 18:47:53,2023-05-31 18:47:55,1.679s,PASSED
"setEncryptedText(findTestObject(""Android/android.widget.EditText - Password""), PASSWORD, 0)",,,,2023-05-31 18:47:55,2023-05-31 18:47:56,1.198s,PASSED
"tap(findTestObject(""Android/android.widget.TextView - Login""), 0)",,,,2023-05-31 18:47:56,2023-05-31 18:47:57,0.721s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Full Name""), ""Abdul Budi"", 0)",,,,2023-05-31 18:47:57,2023-05-31 18:47:59,2.339s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Address Line 1""), ""Mawar 123"", 0)",,,,2023-05-31 18:47:59,2023-05-31 18:48:01,2.147s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - City""), ""Bekasi"", 0)",,,,2023-05-31 18:48:01,2023-05-31 18:48:03,1.618s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - StateorRegion""), ""Jawa Barat"", 0)",,,,2023-05-31 18:48:03,2023-05-31 18:48:04,1.609s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Zip Code""), ""17424"", 0)",,,,2023-05-31 18:48:04,2023-05-31 18:48:06,1.642s,PASSED
"setText(findTestObject(""Android/android.widget.EditText - Country""), ""Indonesia"", 0)",,,,2023-05-31 18:48:06,2023-05-31 18:48:08,1.630s,PASSED
